HS Code,Description,Category
10120,live asses mules and hinnies,1
10290,live bovine animals other than purebred breed,1
10391,live swine weighing 50kg excl purebred bree,1
10410,live sheep,1
10511,live fowls of species gallus domesticus weighi,1
10591,live fowls of species gallus domesticus chicke,1
20110,fresh or chilled bovine carcasses and half carc,2
20130,fresh or chilled boneless bovine meat,2
20220,frozen unboned bovine meat excl carcasses,2
20311,fresh or chilled swine carcasses and half carca,2
20319,fresh or chilled swine meat nes unboned,2
20322,frozen unboned hams shoulders and cuts thereof,2
20410,fresh or chilled lamb carcasses and half carcas,2
20422,fresh or chilled unboned meat of sheep,2
20430,frozen lamb carcasses and half carcasses,2
20442,frozen unboned meat of sheep,2
20450,fresh chilled or frozen goat meat,2
20610,fresh or chilled edible bovine offal,2
20622,frozen bovine livers,2
20630,fresh or chilled edible swine offal,2
20649,frozen edible swine offal excl livers,2
20690,frozen edible offal of sheep goats horses,2
20721,frozen whole chickens,2
20723,frozen whole ducks geese and guinea fowls,2
20739,fresh or chilled poultry cuts and offal excl,2
20742,frozen cuts and offal of turkey excl livers,2
20750,frozen poultry livers,2
20820,fresh chilled or frozen frogs legs,2
20900,pig and poultry fat fresh chilled frozen sa,2
21012,bellies and cuts thereof of swine salted or,2
21020,meat of bovine animals salted or smoked,2
30110,live ornamental fish,3
30192,live eels,3
30199,other live fish,3
30212,fresh or chilled pacific atlantic and danube s,3
30221,fresh or chilled halibut,3
30223,fresh or chilled sole,3
30231,fresh or chilled albacore or longfinned tunas,3
30233,fresh or chilled skipjack or stripebellied bon,3
30240,fresh or chilled herrings excl livers and roe,3
30261,fresh or chilled sardines brisling or sparts,3
30263,fresh or chilled coalfish,3
30265,fresh or chilled dogfish and other sharks,3
30269,fresh or chilled fish nes,3
30310,frozen pacific salmon,3
30322,frozen atlantic and danube salmon,3
30331,frozen halibut,3
30333,frozen sole,3
30341,frozen albacore or longfinned tunas,3
30343,frozen skipjack or stripebellied bonito,3
30350,frozen herrings excl livers and roes,3
30371,frozen sardines brisling or sprats,3
30373,frozen coalfish,3
30375,frozen dogfish and sharks,3
30377,frozen seabass,3
30379,frozen fish nes,3
30410,fresh or chilled fish fillets,3
30490,frozen fish meat excl fillets,3
30520,livers and roes dried smoked salted or in br,3
30541,smoked pacific atlantic and danube salmon inc,3
